STOCK_EXCHANGE,STOCK_SYMBOL,INTERVEL ,NO OF  DAYS,STOCK NAME
NSE,HATHWAY,86400,4000,Hathway Cable & Datacom Limited
NSE,DBREALTY,86400,4000,D B Realty Limited
NSE,EMMBI,86400,4000,Emmbi Industries Limited
NSE,THANGAMAYL,86400,4000,Thangamayil Jewellery Limited
NSE,SYNCOM,86400,4000,Syncom Healthcare Limited
NSE,VASCONEQ,86400,4000,Vascon Engineers Limited
NSE,JUBLFOOD,86400,4000,Jubilant Foodworks Limited
NSE,INFINITE,86400,4000,Infinite Computer Solutions (India) Limited
NSE,MBLINFRA,86400,4000,MBL Infrastructures Limited
NSE,NESTLEIND,86400,4000,Nestle India Limited
NSE,BAYERCROP,86400,4000,Bayer Cropscience Limited
NSE,ABBOTINDIA,86400,4000,Abbott India Limited
NSE,DBCORP,86400,4000,D.B.Corp Limited
NSE,GODREJPROP,86400,4000,Godrej Properties Limited
NSE,JSWENERGY,86400,4000,JSW Energy Limited
NSE,DLINKINDIA,86400,4000,D-Link (India) Limited
NSE,GILLANDERS,86400,4000,Gillanders Arbuthnot & Company Limited
NSE,ARSHIYA,86400,4000,Arshiya Limited
NSE,AHLUCONT,86400,4000,Ahluwalia Contracts (India) Limited
NSE,COX&KINGS,86400,4000,Cox & Kings Limited
NSE,REFEX,86400,4000,Refex Industries Limited
NSE,SARDAEN,86400,4000,Sarda Energy & Minerals Limited
NSE,SHILPAMED,86400,4000,Shilpa Medicare Limited
NSE,ASTEC,86400,4000,Astec LifeSciences Limited
NSE,DEN,86400,4000,Den Networks Limited
NSE,ZYDUSWELL,86400,4000,Zydus Wellness Limited
NSE,SUNTECK,86400,4000,Sunteck Realty Limited
NSE,RTNPOWER,86400,4000,RattanIndia Power Limited
NSE,SQSBFSI,86400,4000,SQS India BFSI Limited
NSE,EUROMULTI,86400,4000,Euro Multivision Limited
NSE,RDEL,86400,4000,Reliance Defence and Engineering Limited
NSE,OIL,86400,4000,Oil India Limited
NSE,GLOBUSSPR,86400,4000,Globus Spirits Limited
NSE,JINDCOT,86400,4000,Jindal Cotex Limited
NSE,NHPC,86400,4000,NHPC Limited
NSE,ADANIPOWER,86400,4000,Adani Power Limited
NSE,RAJOIL,86400,4000,Raj Oil Mills Limited
NSE,EXCEL,86400,4000,Excel Realty N Infra Limited
NSE,VINATIORGA,86400,4000,Vinati Organics Limited
NSE,GKWLIMITED,86400,4000,GKW Limited
NSE,MHRIL,86400,4000,Mahindra Holidays & Resorts India Limited
NSE,AJMERA,86400,4000,Ajmera Realty & Infra India Limited
NSE,ARROWTEX,86400,4000,Arrow Textiles Limited
NSE,HINDNATGLS,86400,4000,Hindusthan National Glass & Industries Limited
NSE,HARITASEAT,86400,4000,Harita Seating Systems Limited
NSE,MAWANASUG,86400,4000,Mawana Sugars Limited
NSE,FELDVR,86400,4000,Future Enterprises Limited
NSE,GISOLUTION,86400,4000,GI Engineering Solutions Limited
NSE,COUNCODOS,86400,4000,Country Condo's Limited
NSE,JIKIND,86400,4000,JIK Industries Limited
NSE,REIAGROLTD,86400,4000,Rei Agro Limited
NSE,ALKALI,86400,4000,Alkali Metals Limited
NSE,TATAMTRDVR,86400,4000,Tata Motors Limited
NSE,NEULANDLAB,86400,4000,Neuland Laboratories Limited
NSE,INDBANK,86400,4000,Indbank Merchant Banking Services Limited
NSE,JOCIL,86400,4000,Jocil Limited
NSE,20MICRONS,86400,4000,20 Microns Limited
NSE,WABCOINDIA,86400,4000,WABCO India Limited
NSE,AUSTRAL,86400,4000,Austral Coke & Projects Limited
NSE,NUTEK,86400,4000,Nu Tek India Limited
NSE,SICAGEN,86400,4000,Sicagen India Limited
NSE,LPDC,86400,4000,Landmark Property Development Company Limited
NSE,LGBFORGE,86400,4000,LGB Forge Limited
NSE,OISL,86400,4000,OCL Iron and Steel Limited
NSE,KOKUYOCMLN,86400,4000,Kokuyo Camlin Limited
NSE,UBL,86400,4000,United Breweries Limited
NSE,VINYLINDIA,86400,4000,Vinyl Chemicals (India) Limited
NSE,KSK,86400,4000,KSK Energy Ventures Limited
NSE,LOTUSEYE,86400,4000,Lotus Eye Care Hospital Limited
NSE,FIRSTWIN,86400,4000,First Winner Industries Limited
NSE,ARCHIDPLY,86400,4000,Archidply Industries Limited
NSE,GET&D,86400,4000,GE T&D India Limited
NSE,MVL,86400,4000,MVL Limited
NSE,METKORE,86400,4000,Metkore Alloys & Industries Limited
NSE,RANEENGINE,86400,4000,Rane Engine Valve Limited
NSE,RBL,86400,4000,Rane Brake Lining Limited
NSE,ALMONDZ,86400,4000,Almondz Global Securities Limited
NSE,RPGLIFE,86400,4000,RPG Life Sciences Limited
NSE,GOKUL,86400,4000,Gokul Refoils and Solvent Limited
NSE,PIRPHYTO,86400,4000,Piramal Phytocare Limited
NSE,SURANACORP,86400,4000,Surana Corporation Limited
NSE,SPICEMOBI,86400,4000,Spice Mobility Limited
NSE,BAJAJFINSV,86400,4000,Bajaj Finserv Limited
NSE,BAJAJ-AUTO,86400,4000,Bajaj Auto Limited
NSE,VIJSHAN,86400,4000,Vijay Shanthi Builders Limited
NSE,UBHOLDINGS,86400,4000,United Breweries (Holdings) Limited
NSE,ANIKINDS,86400,4000,Anik Industries Limited
NSE,KIRIINDUS,86400,4000,Kiri Industries Limited
NSE,TWL,86400,4000,Titagarh Wagons Limited
NSE,DPSCLTD,86400,4000,DPSC Limited
NSE,EIHAHOTELS,86400,4000,EIH Associated Hotels Limited
NSE,NESCO,86400,4000,Nesco Limited
NSE,SITASHREE,86400,4000,Sita Shree Food Products Limited
NSE,GAMMNINFRA,86400,4000,Gammon Infrastructure Projects Limited
NSE,IBVENTURES,86400,4000,Indiabulls Ventures Limited
NSE,BALLARPUR,86400,4000,Ballarpur Industries Limited
NSE,VGUARD,86400,4000,V-Guard Industries Limited
NSE,RECLTD,86400,4000,Rural Electrification Corporation Limited
NSE,NAHARCAP,86400,4000,Nahar Capital and Financial Services Limited
NSE,GSS,86400,4000,GSS Infotech Limited
NSE,RAIN,86400,4000,Rain Industries Limited
NSE,SHALPAINTS,86400,4000,Shalimar Paints Limited
NSE,NMDC,86400,4000,NMDC Limited
NSE,TULSI,86400,4000,Tulsi Extrusions Limited
NSE,IRB,86400,4000,IRB Infrastructure Developers Limited
NSE,BANG,86400,4000,Bang Overseas Limited
NSE,SHRIRAMEPC,86400,4000,Shriram EPC Limited
NSE,TANTIACONS,86400,4000,Tantia Constructions Limited
NSE,HERCULES,86400,4000,Hercules Hoists Limited
NSE,ONMOBILE,86400,4000,OnMobile Global Limited
NSE,SUJANAUNI,86400,4000,Sujana Universal Industries Limited
NSE,KNRCON,86400,4000,KNR Constructions Limited
NSE,CORDSCABLE,86400,4000,Cords Cable Industries Limited
NSE,JKIL,86400,4000,J.Kumar Infraprojects Limited
NSE,RPOWER,86400,4000,Reliance Power Limited
NSE,BIRLAMONEY,86400,4000,Aditya Birla Money Limited
NSE,CAPF,86400,4000,Capital First Limited
NSE,CEATLTD,86400,4000,CEAT Limited
NSE,KAVVERITEL,86400,4000,Kavveri Telecom Products Limited
NSE,AMBIKCO,86400,4000,Ambika Cotton Mills Limited
